Unique Key,Created Date,Borough,Zip,City,Complaint Type
35141190,2017-01-01 01:42:03,MANHATTAN,10075,NEW YORK,Noise - Commercial
35141024,2017-01-01 01:42:10,MANHATTAN,10040,NEW YORK,Noise - Residential
35137842,2017-01-01 01:42:28,BROOKLYN,11226,BROOKLYN,Noise - Residential
35139219,2017-01-01 01:42:28,BROOKLYN,11234,BROOKLYN,Blocked Driveway
35141393,2017-01-01 01:42:31,QUEENS,11374,REGO PARK,Noise - Residential
35138543,2017-01-01 01:42:49,MANHATTAN,10040,NEW YORK,Noise - Residential
35143028,2017-01-01 01:42:50,BRONX,10467,BRONX,Noise - Residential
35147888,2017-01-01 01:43:05,BRONX,10474,BRONX,HEAT/HOT WATER
35143075,2017-01-01 01:43:16,QUEENS,11373,ELMHURST,Noise - Residential
35136926,2017-01-01 01:43:31,BROOKLYN,11203,BROOKLYN,Noise - Residential
35140232,2017-01-01 01:43:32,QUEENS,11421,WOODHAVEN,Noise - Residential
35141312,2017-01-01 01:43:34,MANHATTAN,10040,NEW YORK,Noise - Street/Sidewalk
35142208,2017-01-01 01:43:38,BROOKLYN,11214,BROOKLYN,Illegal Parking
35137850,2017-01-01 01:43:44,QUEENS,11373,ELMHURST,Noise - Residential
35143500,2017-01-01 01:43:49,STATEN ISLAND,10312,STATEN ISLAND,Illegal Parking
35138502,2017-01-01 01:43:55,BROOKLYN,11210,BROOKLYN,Noise - Residential
35143615,2017-01-01 01:44:01,STATEN ISLAND,10306,STATEN ISLAND,Noise - Residential
35140269,2017-01-01 01:44:07,MANHATTAN,10032,NEW YORK,Noise - Street/Sidewalk
35136927,2017-01-01 01:44:52,QUEENS,11379,MIDDLE VILLAGE,Derelict Vehicle
35138546,2017-01-01 01:45:01,QUEENS,11421,WOODHAVEN,Noise - Residential
35142077,2017-01-01 01:45:31,BROOKLYN,11236,BROOKLYN,Blocked Driveway
35143529,2017-01-01 01:45:42,BROOKLYN,11237,BROOKLYN,Animal Abuse
35137779,2017-01-01 01:46:00,MANHATTAN,10003,NEW YORK,Taxi Complaint
35137843,2017-01-01 01:46:01,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35138518,2017-01-01 01:46:01,QUEENS,11369,EAST ELMHURST,Noise - Residential
35140411,2017-01-01 01:46:14,MANHATTAN,10034,NEW YORK,Noise - Residential
35142154,2017-01-01 01:46:20,MANHATTAN,10012,NEW YORK,Noise - Residential
35138316,2017-01-01 01:46:22,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35138503,2017-01-01 01:46:36,BROOKLYN,11222,BROOKLYN,Noise - Residential
35141371,2017-01-01 01:46:39,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35139396,2017-01-01 01:47:00,QUEENS,11433,JAMAICA,Noise - Residential
35144266,2017-01-01 01:47:00,MANHATTAN,10025,NEW YORK,Noise
35136970,2017-01-01 01:47:25,MANHATTAN,10030,NEW YORK,Noise - Residential
35140507,2017-01-01 01:47:58,BRONX,10457,BRONX,Noise - Residential
35141181,2017-01-01 01:48:06,QUEENS,11102,ASTORIA,Noise - Residential
35138773,2017-01-01 01:48:14,MANHATTAN,10002,NEW YORK,Noise - Commercial
35138427,2017-01-01 01:48:17,MANHATTAN,10033,NEW YORK,Noise - Street/Sidewalk
35141063,2017-01-01 01:48:32,BROOKLYN,11226,BROOKLYN,Noise - Residential
35137810,2017-01-01 01:48:39,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35136976,2017-01-01 01:48:40,MANHATTAN,10012,NEW YORK,Noise - Residential
35140412,2017-01-01 01:49:11,MANHATTAN,10030,NEW YORK,Noise - Residential
35143030,2017-01-01 01:49:16,BROOKLYN,11216,BROOKLYN,Noise - Street/Sidewalk
35141796,2017-01-01 01:49:21,QUEENS,11375,FOREST HILLS,Noise - Residential
35143095,2017-01-01 01:50:08,BRONX,10467,BRONX,Noise - Residential
35141351,2017-01-01 01:50:24,QUEENS,11420,SOUTH OZONE PARK,Noise - Commercial
35139625,2017-01-01 01:50:30,MANHATTAN,10040,NEW YORK,Noise - Residential
35143068,2017-01-01 01:50:36,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35141932,2017-01-01 01:50:54,BRONX,10457,BRONX,Noise - Residential
35142224,2017-01-01 01:50:57,BRONX,10463,BRONX,Noise - Residential
35141417,2017-01-01 01:51:02,BROOKLYN,11206,BROOKLYN,Noise - Residential
35139589,2017-01-01 01:51:03,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35140448,2017-01-01 01:51:04,QUEENS,11421,WOODHAVEN,Noise - Residential
35140520,2017-01-01 01:51:22,BRONX,10473,BRONX,Noise - Residential
35145059,2017-01-01 01:51:39,BRONX,10467,BRONX,HEAT/HOT WATER
35136977,2017-01-01 01:51:42,QUEENS,11358,FLUSHING,Noise - Residential
35139577,2017-01-01 01:51:53,BRONX,10456,BRONX,Noise - Residential
35139305,2017-01-01 01:51:54,BRONX,10474,BRONX,Noise - Residential
35141044,2017-01-01 01:52:06,BROOKLYN,11228,BROOKLYN,Illegal Parking
35141061,2017-01-01 01:52:13,BRONX,10472,BRONX,Noise - Residential
35140123,2017-01-01 01:52:13,BRONX,10463,BRONX,Noise - Residential
35137747,2017-01-01 01:52:27,BRONX,10461,BRONX,Blocked Driveway
35139540,2017-01-01 01:52:31,BRONX,10456,BRONX,Noise - Residential
35141407,2017-01-01 01:52:34,BRONX,10464,BRONX,Street Sign - Dangling
35138727,2017-01-01 01:52:37,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35141941,2017-01-01 01:52:37,MANHATTAN,10016,NEW YORK,Noise - Commercial
35140170,2017-01-01 01:52:45,BROOKLYN,11236,BROOKLYN,Noise - Residential
35136935,2017-01-01 01:53:14,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35138433,2017-01-01 01:53:26,QUEENS,11378,MASPETH,Blocked Driveway
35136990,2017-01-01 01:53:47,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35141375,2017-01-01 01:54:15,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35142110,2017-01-01 01:54:24,BROOKLYN,11216,BROOKLYN,Noise - Street/Sidewalk
35143022,2017-01-01 01:54:27,BRONX,10472,BRONX,Noise - Residential
35141160,2017-01-01 01:54:37,BROOKLYN,11201,BROOKLYN,Noise - Helicopter
35142193,2017-01-01 01:54:52,BROOKLYN,11216,BROOKLYN,Noise - Street/Sidewalk
35141403,2017-01-01 01:54:59,BROOKLYN,11222,BROOKLYN,Noise - Residential
35137885,2017-01-01 01:55:06,BRONX,10472,BRONX,Illegal Parking
35142139,2017-01-01 01:55:36,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35141328,2017-01-01 01:55:37,BRONX,10454,BRONX,Noise - Residential
